model_name	file_source	ndcg@20	recall@20	hit@20	mrr@20	precision@20	map@20	giniindex@20	itemcoverage@20	shannonentropy@20	popularitypercentage@20	Value Unfairness of sensitive attribute gender	Absolute Unfairness of sensitive attribute gender	Underestimation Unfairness of sensitive attribute gender	Overestimation Unfairness of sensitive attribute gender	NonParity Unfairness of sensitive attribute gender	Differential Fairness of sensitive attribute gender
FOCF	Mar-04-2026_15-49-23.log	0.0688	0.0824	0.4866	0.1481	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_17-00-55.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_16-08-55.log	0.2319	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.1129	0.0163	0.0286	0.9199
FOCF	Mar-04-2026_18-23-53.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6042	0.1321	0.1064	0.0312	0.1009	0.0039	1.2063
FOCF	Mar-05-2026_03-22-01.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_21-46-31.log	0.232	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.919
FOCF	Mar-04-2026_16-24-17.log	0.0689	0.0821	0.4856	0.1486	0.0356	0.0259	0.8859	0.4492	0.0043	0.2968	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_17-21-52.log	0.2319	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.9191
FOCF	Mar-04-2026_21-17-17.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_17-44-08.log	0.1849	0.2201	0.7671	0.3336	0.0844	0.0883	0.9552	0.2255	0.0073	0.6041	0.1321	0.1065	0.0311	0.101	0.0036	1.2081
FOCF	Mar-05-2026_04-49-36.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6043	0.1321	0.1064	0.0312	0.1009	0.0039	1.2062
FOCF	Mar-04-2026_21-24-47.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6043	0.1321	0.1064	0.0312	0.1009	0.0039	1.2062
FOCF	Mar-04-2026_15-34-37.log	0.2319	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.9191
FOCF	Mar-04-2026_15-01-15.log	0.232	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.919
FOCF	Mar-04-2026_15-15-42.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-05-2026_04-04-15.log	0.232	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.919
